ID,Loại,"Mã sản phẩm",Tên,"Đã đăng","Nhãn nổi bật?","Hiển thị trong danh mục","Mô tả ngắn","Mô tả","Ngày bắt đầu giảm giá","Ngày kết thúc giảm giá","Trạng thái thuế","Lớp thuế","Còn hàng?",Kho,"Số lượng tồn kho ít","Cho phép đặt trước?","Bán riêng?","Cân nặng (kg)","Độ dài (cm)","Độ rộng (cm)","Chiều cao (cm)","Cho phép đánh giá của khách hàng?","Ghi chú thanh toán","Giá khuyến mãi","Giá bán thường","Danh mục","Từ khóa","Lớp giao hàng","Hình ảnh","Giới hạn tải xuống","Ngày hết hạn tải về",Gốc,"Các sản phẩm theo nhóm",Upsells,"Bán chéo","URL ngoài","Nội dung nút bấm","Vị trí","Meta: _yoast_wpseo_primary_product_cat","Meta: _yoast_wpseo_content_score","Meta: _wxr_import_user_slug","Tên thuộc tính 1","Giá trị thuộc tính 1","Thuộc tính hiển thị 1","Thuộc tính toàn cục  1","Meta: _wp_old_date"
453,simple,3616398446394,"Bánh Mì Thịt Nướng",1,0,visible,"Bánh mì thịt nướng cho bữa sáng thêm hấp dẫn. Nếu có nhiều thời gian, bạn hãy tận dụng các que thịt xiên nướng để làm ngay 1 món ăn sáng quành tá tràng bằng những ổ bánh mì chất lượng nhé!","<img src=""https://banhmihanoi.net/wp-content/uploads/2019/08/banh-mi-thit-nuong-300x172.jpg"" />",,,taxable,,1,,,0,0,,,,,1,,,33000,"Ăn vặt, Bữa sáng","Công thức nấu ăn mới",,"https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-09.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-04.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-01.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-02.jpg",,,,,,,,,0,,60,arda,,,,,
461,variable,2616398486394,"Bánh Mì Mè",1,0,visible,"Những chiếc bánh mì làm từ bột nếp với lớp vỏ vàng giòn, phần ruột mềm, dẻo, dai, thơm mùi mè (vừng) sẽ khiến cả nhà bạn thích thú. Cùng học cách làm nhé!","<img src=""https://banhmihanoi.net/wp-content/uploads/2019/08/banh-mi-me-300x228.jpg"" />",,,taxable,,1,,,0,0,,,,,1,,,,"Bữa tối, Bữa trưa","Công thức nấu ăn mới",,"https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-05.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-04.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-03.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-02.jpg",,,,,,,,,0,,60,arda,"kích thước gói","Nhỏ, Trung",1,1,
464,variable,3616398456394,"Bánh Mì Heo Quay",1,0,visible,"Bánh Heo Quay - là bánh ngọt truyền thống nổi tiếng khắp xứ sở Trà Vinh. Bánh có hình dạng giống miếng thịt heo quay, được làm từ các nguyên liệu tự nhiên như khoai môn, bột gạo, nước cốt dừa rất ngon và hấp dẫn cho gia đình thưởng thức. Cùng theo chân Cooky học cách làm món bánh có hình dạng độc đáo này ngay thôi!","<img src=""https://banhmihanoi.net/wp-content/uploads/2019/08/banh-mi-heo-quay-300x183.jpg"" />",,,taxable,,1,,,0,0,,,,,1,,,,"Bữa tối, Bữa trưa","Công thức nấu ăn mới",,"https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-08.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-04.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-03.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-01.jpg",,,,,,,,,0,,60,arda,"kích thước gói","Nhỏ, Trung",1,1,
467,variable,3614398486394,"Bánh Mì Chà Bông",1,0,visible,"Một kiểu bánh mì làm ""tan chảy"" tất cả những ai mê ăn uống. Cách làm bánh mì này không khó, chỉ cần bạn có sự kiên nhẫn và một công thức tuyệt vời như cách làm dưới đây. Nó cực kì thơm và ngon vô cùng các bạn ạ!","<img class=""aligncenter"" src=""https://banhmihanoi.net/wp-content/uploads/2019/08/banh-mi-cha-bong-300x188.jpg"" />",,,taxable,,0,,,0,0,,,,,1,,,,"Bữa sáng",,,"https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-06.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-01.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-02.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-03.jpg",,,,,,,,,0,,60,arda,"kích thước gói","Nhỏ, Trung",1,1,
469,variable,3616398486344,"Bánh Mì Phá Lấu",1,0,visible,"Bữa sáng cuối tuần đầy dinh dưỡng nhâm nhi cùng ly sữa nữa là buổi sáng của cả nhà sẽ thêm hoàn hảo. Bánh sandwich giòn thơm hương bơ, lớp nhân đa dạng. Vị mặn của thịt và phô mai hòa quyện nhau, vị béo của trứng ốp la vỡ ra, thêm rau roket vào sẽ ăn không bao giờ ngán.","<img class=""aligncenter"" src=""https://banhmihanoi.net/wp-content/uploads/2019/08/banh-mi-pha-lau-300x228.jpg"" />",,,taxable,,1,,,0,0,,,,,1,,,,"Bữa sáng",,,"https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-04.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-01.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-02.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-03.jpg",,,,,,,,,0,,60,arda,"kích thước gói","Nhỏ, Trung",1,1,
471,simple,3616398486390,"Sandwich Vuông Kẹp Thịt",1,0,visible,"Bữa sáng cuối tuần đầy dinh dưỡng nhâm nhi cùng ly sữa nữa là buổi sáng của cả nhà sẽ thêm hoàn hảo. Bánh sandwich giòn thơm hương bơ, lớp nhân đa dạng. Vị mặn của thịt và phô mai hòa quyện nhau, vị béo của trứng ốp la vỡ ra, thêm rau roket vào sẽ ăn không bao giờ ngán.","<img class=""aligncenter"" src=""https://banhmihanoi.net/wp-content/uploads/2019/08/banh-mi-sandwich-vuong-kep-thit-300x225.jpg"" />",,,taxable,,1,,,0,0,,,,,1,,35000,40000,"Bữa sáng, Bữa trưa",,,"https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-02.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-04.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-02.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-01.jpg",,,,,,,,,0,,60,arda,"kích thước gói","Nhỏ, Trung",1,1,
473,variable,3616398486392,"Bánh Mì Hamburger",1,0,visible,,"Bánh mì Baguette\n\n<img src=""https://banhmihanoi.net/wp-content/uploads/2019/08/banh-mi-Hamburger.jpg"" />",,,taxable,,1,,,0,0,,,,,1,,,,"Bữa trưa",,,"https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-03.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-01.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-03.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-04.jpg",,,,,,,,,0,,60,arda,"kích thước gói","Nhỏ, Trung",1,1,
475,variable,3616398486393,"Hotdog Xúc Xích Đức",1,0,visible,,"Bánh mì Baguette\n\n<img class=""size-full wp-image-692 aligncenter lazy-load-active"" src=""https://banhmihanoi.net/wp-content/uploads/2019/04/baguette_2.jpg"" sizes=""(max-width: 600px) 100vw, 600px"" srcset=""https://banhmihanoi.net/wp-content/uploads/2019/04/baguette_2.jpg 600w, https://banhmihanoi.net/wp-content/uploads/2019/04/baguette_2-300x199.jpg 300w"" alt="""" width=""600"" height=""398"" data-src=""https://banhmihanoi.net/wp-content/uploads/2019/04/baguette_2.jpg"" data-srcset=""https://banhmihanoi.net/wp-content/uploads/2019/04/baguette_2.jpg 600w, https://banhmihanoi.net/wp-content/uploads/2019/04/baguette_2-300x199.jpg 300w"" />",,,taxable,,1,,,0,0,,,,,1,,,,"Ăn vặt",,,"https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-01.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-01.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-02.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-03.jpg",,,,,,,,,0,,60,arda,"kích thước gói","Nhỏ, Trung",1,1,
476,variable,3616398486394,"Bánh mì Baguette",1,0,visible,,"Bánh mì Baguette\n\n<img class=""size-full wp-image-692 aligncenter lazy-load-active"" src=""https://banhmihanoi.net/wp-content/uploads/2019/04/baguette_2.jpg"" sizes=""(max-width: 600px) 100vw, 600px"" srcset=""https://banhmihanoi.net/wp-content/uploads/2019/04/baguette_2.jpg 600w, https://banhmihanoi.net/wp-content/uploads/2019/04/baguette_2-300x199.jpg 300w"" alt="""" width=""600"" height=""398"" data-src=""https://banhmihanoi.net/wp-content/uploads/2019/04/baguette_2.jpg"" data-srcset=""https://banhmihanoi.net/wp-content/uploads/2019/04/baguette_2.jpg 600w, https://banhmihanoi.net/wp-content/uploads/2019/04/baguette_2-300x199.jpg 300w"" />",,,taxable,,1,,,0,0,,,,,1,,,,"Bữa sáng",,,"https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-07.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-04.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-01.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-02.jpg",,,,,,,,,0,,60,arda,"kích thước gói","Nhỏ, Trung",1,1,
480,variable,3316398486394,"Sandwich Tròn Kẹp Thịt",1,0,visible,"Bữa sáng cuối tuần đầy dinh dưỡng nhâm nhi cùng ly sữa nữa là buổi sáng của cả nhà sẽ thêm hoàn hảo. Bánh sandwich giòn thơm hương bơ, lớp nhân đa dạng. Vị mặn của thịt và phô mai hòa quyện nhau, vị béo của trứng ốp la vỡ ra, thêm rau roket vào sẽ ăn không bao giờ ngán.","<img src=""https://banhmihanoi.net/wp-content/uploads/2019/08/banh-mi-sandwich-tron-kep-thit-300x169.jpg"" />",,,taxable,,1,,,0,0,,,,,1,,,,"Bữa trưa",,,"https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-01.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-04.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-02.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-01.jpg",,,,,,,,,0,,60,arda,"kích thước gói","Nhỏ, Trung",1,1,2019-09-13
